recipe_name,recipe_link,main_ingredient,meal_role,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,vitamin_a_iu,vitamin_c_mg,iron_mg,price_try,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,ingredient_16,ingredient_17,ingredient_18,ingredient_19,ingredient_20,ingredient_21,ingredient_22,ingredient_23,ingredient_24,ingredient_25,ingredient_26,ingredient_27,ingredient_28,ingredient_29,ingredient_30
Güveçte Mantar Şöleni,https://www.nefisyemektarifleri.com/guvecte-mantar-soleni/,Sebze,Ana Yemek,146,10.1,10.7,7.08,2.74,25,396.07,535.6,193.64,571.42,36.81,1.49,46.32,️400 gram mantar,️1 adet soğan,️1 adet kapya biber,️1 adet çarliston biber,️2 diş sarımsak,️1 çay bardağı domates sosu ya da 1 yemek kaşığı salça,️1 su bardağı sıcak su,️Tuz,️Karabiber,️Pulbiber,️Kaşar peyniri,,,,,,,,,,,,,,,,,,,
Zeytinyağlı Kabak Kavurma,https://www.nefisyemektarifleri.com/zeytinyagli-kabak-kavurma/,Sebze,Ana Yemek,282,12.5,4.9,24.6,4.68,0,190.6,753.47,174.59,3313.99,47.11,3.6,60.34,3-4 tane orta boy kabak,1 tane orta boy soğan,1 adet havuç,1 adet kırmızıbiber,2-3 diş sarımsak,2 adet domatesin rendesi,5 yemek kaşığı zeytinyağı,Tuz,Pul biber,,,,,,,,,,,,,,,,,,,,,
İçli Köfte,https://www.nefisyemektarifleri.com/video/en-kolay-icli-kofte-tarifi-videolu/,Kırmızı Et,Ana Yemek,186,18.27,5.3,10.4,2.18,15,18.04,183.22,16.9,100.27,1.95,27.5,27.39,2 su bardağı köftelik bulgur,1 çay bardağı irmik,3 su bardağı sıcak su,1 çay bardağı un,1 adet yumurta,1 tatlı kaşığı biber salçası,Pul biber,Karabiber,Tuz,Yarım çay bardağı sıvı yağ,2 adet kuru soğan,250 gram kıyma,1 tatlı kaşığı biber salçası,Yarım su bardağı çekilmiş ceviz içi,1 tutam maydanoz,Kimyon,Karabiber,Pul biber,Tuz,Sıvı yağ,,,,,,,,,,
Tavuklu Sultan Kebabı,https://www.nefisyemektarifleri.com/tavuklu-sultan-kebabi-tarifi/,Tavuk,Ana Yemek,493,43.4,41.5,16.7,6.12,26.06,498.05,856.76,233.81,839.45,23.82,2.1,99.21,2 adet yufka,400g tavuk göğsü,400g tavuk pirzola,1 adet kuru soğan,1 yemek kaşığı domates salçası (Birazını ketçap kullanabilirsiniz),1 su bardağı haşlanmış ya da konserve bezelye,1 adet patlıcan,Pul biber,Kekik,Karabiber,Tuz,1.5 yemek kaşığı un,1.5 su bardağı süt,2 yemek kaşığı tereyağı,Tuz,Kaşar peyniri rendesi,,,,,,,,,,,,,,
İzmir Köfte,https://www.nefisyemektarifleri.com/video/izmir-kofte-nasil-yapilir/,Kırmızı Et,Ana Yemek,689,53.2,28.3,38.6,5.3,96.3,681.46,1485.3,352.9,670,32.2,4.34,112.14,500 gram az yağlı kıyma,1 adet kuru soğan,1 adet yumurta,Yarım demet maydanoz,1.5 su bardağı bayat ekmek içi,1 çay kaşığı karabiber,1 çay kaşığı pul biber,1 çay kaşığı kekik,1 tatlı kaşığı tuz,3 yemek kaşığı sıvı yağ,1 tatlı kaşığı salça,3 adet domates,1 tatlı kaşığı tuz,1 çay kaşığı kekik,1.5 su bardağı sıcak su (300 ml),1 adet domates,4 adet patates (küçükse 5 tane de koyabilirsiniz),3 adet çarliston biber,Sıvı yağ,,,,,,,,,,,
Beyti Kebabı,https://www.nefisyemektarifleri.com/video/beyti-kebabi-nasil-yapilir-videolu-tarif/,Kırmızı Et,Ana Yemek,758,67.8,36.8,36.5,5.31,175.06,847,1092.1,97.02,836.79,13.13,4.32,176.68,1-2 adet yufka,400g kıyma,1 adet yumurta,1 adet soğan,1 diş sarımsak,Yarım çay bardağı galeta unu,Tuz,Karabiber,2-3 yemek kaşığı tereyağı,1 su bardağı domates rendesi,1 yemek kaşığı tereyağı,Karabiber,Tuz,Yoğurt,,,,,,,,,,,,,,,,
Kadınbudu Köfte,https://www.nefisyemektarifleri.com/video/kadinbudu-kofte-tarifi/,Kırmızı Et,Ana Yemek,171,6.06,7.5,12.8,0.1,44.1,73.12,136.24,28.8,44.95,0.5,0.8,27.31,500 gr yağsız dana kıyması,1 çay bardağı pirinç,1 adet yumurta,1 adet soğan,1 tatlı kaşığı tuz,1 çay kaşığı karabiber,2 yemek kaşığı zeytinyağı,Un,3 adet yumurta,Sıvı yağ,,,,,,,,,,,,,,,,,,,,
Tavuk Sote,https://www.nefisyemektarifleri.com/video/tavuk-sote-nasil-yapilir/,Tavuk,Ana Yemek,294,10.07,41.8,9.9,3.3,0,289.3,873.8,264.34,1062.6,47.23,1.91,164.93,Yarım kg tavuk göğsü,2 yemek kaşığı sıvı yağ,1 tatlı kaşığı domates salçası,2 adet yeşil biber,1 adet kırmızı biber,1 adet soğan,2 diş sarımsak,2 adet domates,Karabiber,Pul biber,Tuz,1 su bardağı su,,,,,,,,,,,,,,,,,,
Köfteli İslim Kebabı,https://www.nefisyemektarifleri.com/video/kofteli-islim-kebabi-tarifi/,Kırmızı Et,Ana Yemek,231,8.3,11.3,16.8,3.69,46.8,166.4,483,85.96,381.45,21.35,1.97,37.11,4 adet patlıcan,Yeşil biber,Çeri domates,400g kıyma,1 adet soğan,2 diş sarımsak,1 adet yumurta,3 yemek kaşığı ekmek içi,1 tutam maydanoz,1 çay kaşığı tuz,Yarım çay kaşığı karabiber,Yarım çay kaşığı pul biber,1 çay kaşığı kimyon,1 yemek kaşığı domates salçası,1 çay kaşığı tuz,2 su bardağı sıcak su,,,,,,,,,,,,,,
Karnıyarık Yemeği,https://www.nefisyemektarifleri.com/video/karniyarik-yemegi-videosu/,Kırmızı Et,Ana Yemek,362,12,4,33,7.2,0.1,136.6,708.5,260.84,606.35,59.94,1.7,56.88,6 adet küçük boy patlıcan (büyük ise ikiye bölebilirsiniz),3 adet sivri biber,2 adet orta boy soğan,2 adet domates,2 adet sivri biber,2 diş sarımsak,Sıvı yağ. tuz. karabiber. kırmızıbiber,200 gr kıyma,1 çay bardağı sıcak su,1 yemek kaşığı salça,1 su bardağı sıcak su,,,,,,,,,,,,,,,,,,,
Püreli Tepsi Kebabı,https://www.nefisyemektarifleri.com/pureli-tepsi-kebabi/,Kırmızı Et,Ana Yemek,253,18.9,15.1,12.2,1.52,58.34,254.03,579.17,132.5,248,4.59,1.36,56.72,600 gr kıyma,1 adet kuru soğan,1 avuç maydanoz,1 adet yumurta,2-3 diş sarımsak,2.5 yemek kaşığı galeta unu,1 tatlı kaşığı tuz,1 çay kaşığı pul biber,Yarım çay kaşığı karabiber,5-6 adet patates,1.5 su bardağı süt (300 ml),2 yemek kaşığı tereyağı,1 su bardağı rendelenmiş kaşar peyniri,1 tatlı kaşığı tuz,1 yemek kaşığı domates salçası,1 su bardağı sıcak su (200 ml),Domates,Yeşil biber,,,,,,,,,,,,
Patates Köftesi,https://www.nefisyemektarifleri.com/video/patates-koftesi-kibris-koftesi-tarifi/,Kırmızı Et,Ana Yemek,130,8.4,3.6,8.9,0.6,14.4,58.1,212.5,48.1,16.4,1.1,0.4,11.32,1 kg patates (yaklaşık 4-5 adet),250 gram kıyma,1 adet soğan,1 adet yumurta,5 yemek kaşığı ekmek içi,Çeyrek demet maydanoz,1 tatlı kaşığı tuz,Yarım tatlı kaşığı kuru nane,1 çay kaşığı kimyon,Sıvı yağ,,,,,,,,,,,,,,,,,,,,
Kıymalı Rulo Patates,https://www.nefisyemektarifleri.com/video/davet-sofralarinin-yildizi-olacak-kiymali-rulo-patates/,Kırmızı Et,Ana Yemek,299,17,20,16.02,2.2,100.5,363.01,634.8,417.08,433.59,29.9,1.7,95.28,3 adet patates,1.5 su bardağı rendelenmiş kaşar peyniri,1 tutam maydanoz,2 adet yumurta,1 çay kaşığı tuz,Karabiber,2 yemek kaşığı sıvı yağ,350 -400 g kıyma,1 adet soğan,1 adet yeşil biber,2 adet kırmızı biber,1 yemek kaşığı domates salçası (tepeleme),1 su bardağı sıcak su,1 tatlı kaşığı tuz,1 tatlı kaşığı kırmızı toz biber,Karabiber,Kaşar peyniri rendesi,Tercihe bağlı maydanoz. kırmızı biber,,,,,,,,,,,,
Ali Nazik Kebabı,https://www.nefisyemektarifleri.com/ali-nazik-kebabi/,Kırmızı Et,Ana Yemek,421,10.4,27.4,29,6.2,87.4,433.8,1046,143,400.6,80.6,3.13,150.49,400 gram süzme yoğurt,1 tatlı kaşığı tuz,2 diş sarımsak,4 adet kemer patlıcan,2 adet kırmızı biber,2 adet yeşil biber,500 gram dana kuşbaşı,1 yemek kaşığı tereyağı,1 çay kaşığı tuz,1 çay kaşığı pul biber,1 çay kaşığı kekik,Yarım çay kaşığı karabiber,Yarım su bardağı sıcak su (100 ml),2 yemek kaşığı domates sosu (veya 1 tatlı kaşığı salça),,,,,,,,,,,,,,,,
Çökertme Kebabı,https://www.nefisyemektarifleri.com/video/cokertme-kebabi-tarifi/,Kırmızı Et,Ana Yemek,792,40.1,40.5,52,3.32,564.2,296.08,1675.08,286.21,368.17,83.39,3.07,228.1,400 g biftek veya bonfile,4 çorba kaşığı sıvı yağ,1 çay kaşığı kekik,1 çay kaşığı pul biber,1 çorba kaşığı rendelenmiş soğan,½ çay kaşığı karabiber,1 çorba kaşığı yoğurt,500 g patates,Kızartmak için sıvı yağ,Sarımsaklı süzme yoğurt,Sıvı yağ ve pul biber,,,,,,,,,,,,,,,,,,,
Tavuklu Sultan Kebabı,https://www.nefisyemektarifleri.com/video/tavuklu-sultan-kebabi-nefis-yemek-tarifleri/,Tavuk,Ana Yemek,471,44.8,44.6,11.5,6.12,21.36,471.91,968.13,237.18,844.15,24.14,2.32,99.21,2 adet yufka,400g tavuk göğsü,400g tavuk pirzola,1 adet kuru soğan,1 yemek kaşığı domates salçası (Birazını ketçap kullanabilirsiniz),1 su bardağı haşlanmış ya da konserve bezelye,1 adet patlıcan,Pul biber,Kekik,Karabiber,Tuz,1.5 yemek kaşığı un,1.5 su bardağı süt,2 yemek kaşığı tereyağı,Tuz,Kaşar peyniri rendesi,,,,,,,,,,,,,,
Şehzade Kebabı,https://www.nefisyemektarifleri.com/video/sehzade-kebabi-nasil-yapilir/,Kırmızı Et,Ana Yemek,449,10.5,28,31.4,5.51,89.64,315.73,891.89,122.51,201.7,37.56,3.8,146.04,1 kg kuşbaşı dana eti,5 adet patlıcan,3 yemek kaşığı sıvı yağ,2 adet soğan,4-5 adet yeşil biber,4-5 diş sarımsak,1 çay kaşığı karabiber,1 çay kaşığı pul biber,Tuz,1 yemek kaşığı domates salçası,2 su bardağı et suyu,2 adet domates,Soğan dilimleri,Biber,,,,,,,,,,,,,,,,
Tavuklu Buğu Kebabı,https://www.nefisyemektarifleri.com/video/sahane-lezzeti-ile-bugu-kebabi-tarifi-videolu/,Tavuk,Ana Yemek,355,12,36.1,17.8,1.05,19.3,435.19,764.08,204.7,449.2,14.6,1.1,94.51,3-4 yemek kaşığı sıvı yağ,1 adet soğan,1 kg kemiksiz tavuk,1 adet kırmızı biber,1 yemek kaşığı salça,1 su bardağı domates püresi,1 kavanoz garnitür,1 tatlı kaşığı tuz,Yarım çay kaşığı karabiber,1 çay kaşığı kırmızı toz biber,1 su bardağı sıcak su,3 yemek kaşığı tereyağı,3 yemek kaşığı un,3 su bardağı süt,Tuz,Karabiber,Kaşar peyniri,,,,,,,,,,,,,
Fırında Patlıcan Kebabı,https://www.nefisyemektarifleri.com/video/firinda-patlican-kebabi-videosu/,Kırmızı Et,Ana Yemek,350,16.3,24.1,20.5,5.9,95.8,425.96,901.2,159.4,461.5,18.6,3.8,101.23,4 adet orta boy patlıcan,500 gr orta yağlı kıyma,1 adet rendelenmiş soğan,2 diş rendelenmiş sarımsak,1 adet yumurta,Maydanoz,1 çay bardağı galeta unu,1 çay kaşığı karabiber,1 çay kaşığı pul biber,Kimyon,Tuz,2 yemek kaşığı sıvı yağ,1 diş sarımsak,1 adet rendelenmiş domates,1 tatlı kaşığı salça,1.5 su bardağı sıcak su,Tuz,Karabiber,Sivri biber,Domates,,,,,,,,,,
Fırında Tavuk Şiş,https://www.nefisyemektarifleri.com/firinda-tavuk-sis-tarifi/,Süt Ürünü,Ana Yemek,192,1.7,24.1,9.8,0.26,1.17,116,425.96,21.13,142.62,0.61,0.56,4.73,1 kg kadar kemiksiz göğüs eti ya da pirzola,Yeşil biber,Çeri domates,3 yemek kaşığı yoğurt,Yarım su bardağı sıvı yağ,3 diş sarımsak,1 tatlı kaşığı Tuz,1 çay kaşığı Kekik,1 çay kaşığı Pul biber,1 yemek kaşığı salça,Yarım çay kaşığı Kimyon,,,,,,,,,,,,,,,,,,,
Fırında Köfte Patates,https://www.nefisyemektarifleri.com/firinda-kofte-patates/,Kırmızı Et,Ana Yemek,443,33.2,25,22.8,3.98,95.2,335.2,1212.8,66.8,682.63,36.2,3.15,118.91,2-3 adet patates,2-3 adet yeşil biber,2 adet domates,Sıvı yağ,1.5 yemek kaşığı domates salçası,Yarım kg kıyma,1 adet kuru soğan,2-3 diş sarımsak,1 adet yumurta,Yarım su bardağı kadar ufalanmış bayat ekmek içi veya galeta unu,Tuz,Karabiber,Pul biber,,,,,,,,,,,,,,,,,
Patatesli Sulu Köfte Yemeği,https://www.nefisyemektarifleri.com/patatesli-sulu-kofte-yemegi/,Kırmızı Et,Ana Yemek,168,31,4.2,3,3,0,134.2,749.2,32.6,207.2,4.45,0.7,71.7,200 g kıyma,3 adet orta boy patates,1 adet soğan,2 yemek kaşığı kısırlık bulgur,2 yemek kaşığı domates salçası,2 yemek kaşığı sıvı yağ,2 yemek kaşığı kadar un,2-3 diş ezilmiş sarımsak,Tuz,Karabiber,Pul biber,Kırmızı biber,,,,,,,,,,,,,,,,,,
Yoğurtlu Tavuk Salatası,https://www.nefisyemektarifleri.com/yogurtlu-tavuk-salatasi-tarifi/,Tavuk,Tek Öğün,210,5.9,26.2,9,0.78,4.6,266.88,379.58,403.75,149.27,4.59,0.95,503.2,500 gram tavuk göğsü,1 tatlı kaşığı tuz (tavuğu haşlamak için),2 adet salatalık,6 adet kornişon turşu,1 tutam dereotu,1 su bardağı yoğurt,3 yemek kaşığı mayonez,2 diş sarımsak,1 çay kaşığı tuz,1 çay bardağı çekilmiş ceviz,Zeytinyağı,Ceviz,Kırmızı toz biber,,,,,,,,,,,,,,,,,
Fırında Tavuk,https://www.nefisyemektarifleri.com/video/firinda-tavuk-but-nasil-pisirilir-517936/,Tavuk,Ana Yemek,586,58.4,47.3,17.04,6.06,1.83,503.37,1753.97,425.5,551.08,16.24,4.24,2.11,3 adet tavuk but,2 adet kuru soğan,7 diş sarımsak,5 adet patates,3 adet yeşil sivri biber,2 adet rende domates,Yarım limon ( tavukları ovmak için),1 yemek kaşığı domates salçası,2 yemek kaşığı sıvı yağ,1 tatlı kaşığı tuz,1 çay kaşığı karabiber,2 tatlı kaşığı kekik,3 su bardağı sıcak su (600 ml),,,,,,,,,,,,,,,,,
Beşamel Soslu Garnitürlü Köfte,https://www.nefisyemektarifleri.com/video/besamel-soslu-garniturlu-kofte-tarifi/,Kırmızı Et,Tek Öğün,256,14,15,14.9,2.39,63.4,295.2,349.26,169.5,319.23,4.65,1.56,44.23,400g kıyma,1 adet kuru soğan,3-4 diş sarımsak,maydanoz,1 yumurta,3-4 dilim bayat ekmek içi,Kimyon,Karabiber,Kırmızı tozbiber,Tuz,1 yemek kaşığı domates salçası,Sıcak su,Tuz,Kaşar Peyniri,Beşamel sos (tarifi için tıkayın),1 su bardağı garnitür,,,,,,,,,,,,,,
Tavuk Sote,https://www.nefisyemektarifleri.com/tavuk-sote-tarifi/,Tavuk,Ana Yemek,285,8.7,41,10,3.32,0,315,1055.66,38.8,1070.6,47,1.5,164.93,Yarım kg tavuk göğsü,2 yemek kaşığı sıvı yağ,1 tatlı kaşığı domates salçası,2 adet yeşil biber,1 adet kırmızı biber,1 adet soğan,2 diş sarımsak,2 adet domates,Karabiber,Pul biber,Tuz,1 su bardağı su,,,,,,,,,,,,,,,,,,
Hünkar Beğendi,https://www.nefisyemektarifleri.com/hunkar-begendi-yapimi/,Kırmızı Et,Ana Yemek,486,17.3,26.8,34.6,5.5,83,722,1214,316,806.67,21.2,3.1,104.34,200g kuşbaşı et,3 yemek kaşığı sıvı yağ,1 adet soğan,1 adet biber,1 adet domates,Yaklaşık 1 yemek kaşığı salça,1.5-2 su bardağı su,Tuz. karabiber,3 adet patlıcan,1 çay bardağı süt (az gelirse ilave edebilirsiniz),1 yemek kaşığı tereyağı,1 yemek kaşığı un,Tuz,Yarım su bardağı kaşar rendesi,,,,,,,,,,,,,,,,
Hünkar Beğendi,https://www.nefisyemektarifleri.com/video/hunkar-begendi/,Kırmızı Et,Ana Yemek,461,38,14,24.6,9.9,522.2,74,815,86.6,25250,24.8,9.8,132.23,2 yemek kaşığı tereyağı,1 adet soğan,500g kuşbaşı kuzu eti,1 diş sarımsak,1 adet biber,1 adet domates,1 tatlı kaşığı salça,Tuz,Karabiber,1.5 su bardağı sıcak su,2 yemek kaşığı tereyağı,2 yemek kaşığı un,4 adet köz patlıcan,Yarım su bardağı Kaşar peyniri,Tuz,Muskat,1 çay bardağı süt,,,,,,,,,,,,,
Çıtır Tavuk Kızartması,https://www.nefisyemektarifleri.com/citir-tavuk-kizartmasi-tarifi/,Tavuk,Ana Yemek,457,7.3,34.7,32.03,0.4,62,307.9,410.8,253.9,114.5,0,1.2,109.9,2 parça tavuk göğsü,Çıtır pane harcı,Yarım su bardağı süt,1 adet yumurta,Tuz,Sıvı yağ,,,,,,,,,,,,,,,,,,,,,,,,
Fırında Soslu Köfte,https://www.nefisyemektarifleri.com/firinda-soslu-kofte/,Kırmızı Et,Ana Yemek,151,4.8,11.2,9.37,0.61,50.6,212.65,235.79,177.55,205.49,3.91,1.27,47.42,500gr kıyma,1 adet yumurta,4 yemek kaşığı ekmek içi (ben daha önce hazırlamış olduğumekmeklerdenkullandım.),1 tutam maydanoz,3-4 diş sarımsak,1 adet kuru soğan,Karabiber,Kimyon,Tuz,2 adet büyük boy domates,1 yemek kaşığı tereyağı,Kekik,Tuz,Karabiber,Kaşar Peyniri,,,,,,,,,,,,,,,
Mantarlı Tavuk Sote,https://www.nefisyemektarifleri.com/video/mantarli-tavuk-sote-nasil-yapilir/,Tavuk,Ana Yemek,276,11.9,37.2,10.02,3.15,0,281.01,1121.8,261.07,987.3,17.62,2.38,181.05,600 gram tavuk pirzola,400 gram mantar,2 yemek kaşığı kadar sıvı yağ,1 yemek kaşığı domates salçası,3 yemek kaşığı domates sosu (2 adet domates),3-4 adet sarımsak,Kekik. karabiber. pul biber,Tuz,Yarım su bardağı sıcak su,,,,,,,,,,,,,,,,,,,,,
Soslu Biftek,https://www.nefisyemektarifleri.com/soslu-biftek-tarifi/,Sebze,Ana Yemek,305,13.4,21.1,18.1,2.6,157.2,429.5,690.2,253.1,810.8,20.3,1.2,47.08,8 dilim biftek,Sıvı yağ,2 yemek kaşığı salça,3 adet orta boy domates,10-15 adet arpacık soğan,3-4 diş sarımsak (isteğe bağlı),1 su bardağı sıcak su,Kekik,Karabiber,Pulbiber,Tuz,,,,,,,,,,,,,,,,,,,
Patlıcan Kapama,https://www.nefisyemektarifleri.com/video/cok-begenilen-patlican-kapama-tarifi/,Kırmızı Et,Ana Yemek,282,16.9,12.9,17.4,5.63,36,191.5,780.5,113.5,475.7,44.47,2.05,106.26,500 g kuşbaşı et,4-5 yemek kaşığı sıvı yağ,2 kırmızı biber,2 yeşil biber,1 soğan,1 diş sarımsak,1 tatlı kaşığı biber salçası,Tuz,Karabiber,Pul biber,4 patlıcan,2 patates,2 domates,1 su bardağı sıcak su,,,,,,,,,,,,,,,,
Şehzade Kebabı,https://www.nefisyemektarifleri.com/sehzade-kebabi-tarifi/,Kırmızı Et,Ana Yemek,411,11.5,23.2,29.3,6.06,70.3,334.7,957.07,129.97,462.2,44.1,3.46,146.04,1 kg kuşbaşı dana eti,5 adet patlıcan,3 yemek kaşığı sıvı yağ,2 adet soğan,4-5 adet yeşil biber,4-5 diş sarımsak,1 çay kaşığı karabiber,1 çay kaşığı pul biber,Tuz,1 yemek kaşığı domates salçası,2 su bardağı et suyu,2 adet domates,Soğan dilimleri,Biber,,,,,,,,,,,,,,,,
Beşamel Soslu Tavuk,https://www.nefisyemektarifleri.com/besamel-soslu-tavuk/,Tavuk,Ana Yemek,366,19.8,34.3,16.3,1.24,25.94,341.72,397.46,581.28,566.14,18.79,1.1,74.92,500 g kemiksiz tavuk eti (ben kalça ve göğüs karışık kullanıyorum),1 adet kuru soğan,1 diş sarımsak,1 adet kırmızı biber (isteğe bağlı. evde varsa kullanıyorum),1 yemek kaşığı domates salçası,2 yemek kaşığı sıvı yağ,1 kavanoz konserve garnitür (bezelye. havuç. patates),1 çay kaşığı pul biber,Yarım çay kaşığı karabiber,1 çay kaşığı tuz,Yarım çay bardağı sıcak su (60 ml),2.5 yemek kaşığı un,2 su bardağı süt (400 ml),1 dolu yemek kaşığı tereyağı,1 çay kaşığı tuz,Çay kaşığının ucu ile karabiber,Kaşar peyniri rendesi,,,,,,,,,,,,,
Kağıt Kebabı,https://www.nefisyemektarifleri.com/video/kagit-kebabi-nasil-yapilir/,Kırmızı Et,Ana Yemek,247,18.7,12.1,13.1,3.9,30.7,149.8,618.9,99.9,2219.7,22.6,1.7,106.95,600 gram kuşbaşı dana eti (kuzu eti de kullanabilirsiniz),2 adet orta boy havuç,2 adet orta boy patates,2 adet domates,1 su bardağı bezelye (ben konserve bezelye kullandım),1 yemek kaşığı domates salçası,Yarım çay bardağın kadar sıvı yağ,Bir kase arpacık soğan (20 tane kadar),1 çay kaşığı karabiber,1 tatlı kaşığı kekik,Tuz,,,,,,,,,,,,,,,,,,,
Tavuk Fajita,https://www.nefisyemektarifleri.com/video/tavuk-fajita-videosu/,Kırmızı Et,Ana Yemek,590,12.3,33.7,47,4.6,0.09,719.2,591.9,58.7,826.43,117.6,2.19,211.82,500 gram kemiksiz derisiz tavuk ızgara eti,2 yemek kaşığı soya sosu,3-4 diş ince dövülmüş sarımsak,3 yemek kaşığı zeytinyağı,Kırmızı toz biber,Karabiber,Kimyon,Tuz ( baharatları damak zevkinize göre ayarlayabilirsiniz),2 orta boy kuru soğan,3-4 adet yeşil biber,2 adet kırmızı etli biber,3-4 yemek kaşığı zeytinyağı,Tuz,Karabiber,,,,,,,,,,,,,,,,
Köfteli Patlıcan Sarması,https://www.nefisyemektarifleri.com/video/kofteli-patlican-sarmasi-tarifi/,Kırmızı Et,Ana Yemek,270,8.2,15.4,19.5,3.09,41.67,183.7,597.3,136.4,678.3,33.3,2.4,80.9,2 büyük bostan patlican,500 gram kıyma,1 adet orta boy soğan,1 diş sarımsak,1 tatlı kaşığı biber salçası (tepeleme),Bir tutam maydanoz,Tuz. kimyon. karabiber. kırmızı pulbiber,Üzeri için:,3 adet domates,3 adet sivri biber,Sosu için:,1 yemek kaşığı domates salçası,1 su bardağı su,,,,,,,,,,,,,,,,,
Tavuklu Krep Bohçası,https://www.nefisyemektarifleri.com/tavuklu-krep-bohcasi-tarifi/,Tavuk,Ana Yemek,370,32.5,22.7,16.1,3.6,38.1,310.2,720.4,210.4,749.02,21.05,1.6,85.56,2 su bardağı süt,2 yumurta,Yarım çay bardağı sıvı yağ,Tuz,Bir tutam dereotu,Krep hamuru olacak kadar un (9-10 yemek kaşığı yaklaşık),2 yemek kaşığı sıvı yağ,2 parça tavuk göğsü(350 gr kadar),1 adet soğan,1 tatlı kaşığı domates salçası,1 adet orta boy patates,1 su bardağı haşlanmış bezelye,Tuz,Pul biber,Karabiber,1. 5 su bardağı süt,1 yemek kaşığı tereyağı,1. 5 yemek kaşığı un,Tuz,Kaşar peyniri rendesi,,,,,,,,,,
Arap Tava,https://www.nefisyemektarifleri.com/video/kiymali-firin-yemegi-tarifi-arap-tava/,Kırmızı Et,Ana Yemek,427,24.5,19.4,27.3,3.9,50.5,299.5,975.78,208.71,302.05,74.92,2.14,138.83,600 gr kıyma,4-5 adet patates,1 adet soğan,3 adet kırmızı biber,6 adet yeşil biber,2 adet domates,5 diş sarımsak,1 yemek kaşığı domates salçası,1 yemek kaşığı biber salçası,1 çay bardağı zeytinyağı,2 tatlı kaşığı tuz,1.5 tatlı kaşığı acı pul biber,1 tatlı kaşığı kimyon,1 çay kaşığı karabiber,1 tatlı kaşığı kırmızı toz biber,2 su bardağı soğuk su,,,,,,,,,,,,,,
Fırında Tavuk But,https://www.nefisyemektarifleri.com/video/firinda-tavuk-but-nasil-pisirilir/,Tavuk,Ana Yemek,347,5.7,40.5,17.8,1,1.4,351.9,299.3,62.81,419.1,5.2,2.7,2.11,4 adet kalçalı but,1 yemek kaşığı salça,2 diş sarımsak,1 çay kaşığı tuz,Yarım çay kaşığı pul biber,Yarım çay kaşığı kekik,Yarım çay kaşığı kimyon,Yarım çay kaşığı karabiber,1 yemek kaşığı yoğurt,1 adet küçük boy soğan,3 yemek kaşığı sıvı yağ,,,,,,,,,,,,,,,,,,,
Arnavut Ciğeri,https://www.nefisyemektarifleri.com/video/arnavut-cigeri-tarifi-cok-pratik-videolu/,Kırmızı Et,Ana Yemek,385,39.2,26.1,12.3,2.15,400.8,211.06,616.9,398.5,186.72,7.89,8.2,46.66,600 g kuzu veya dana ciğeri,2 adet kuru soğan,2 adet patates,1 tutam maydanoz,1 su bardağı un,Tuz,Karabiber,Pul biber,Kekik,Kimyon,Kızartmak için sıvı yağ,,,,,,,,,,,,,,,,,,,
Patates Püreli Köfte,https://www.nefisyemektarifleri.com/video/patates-pureli-kofte-tarifi/,Süt Ürünü,Ana Yemek,318,19.3,20.8,16.6,1.9,86.5,411.2,697.9,188.7,344.8,3.3,2.1,37.71,1 yemek kaşığı salça,1 su bardağı sıcak su,1 çay bardağı kaşar peyniri rendesi,2 orta boy patates,yarım su bardağı süt,1 çay kaşığı tuz,yarım çay bardağı rendelenmiş kaşar peyniri,1 yemek kaşığı tereyağı,500 gr çekilmiş et,1 orta boy soğan,2 diş sarımsak,3 dilim bayat ekmek içi (robotta çekilmiş),1 adet yumurta,Karabiber. kırmızı biber. kimyon. tuz,,,,,,,,,,,,,,,,
Patates Püresinde Tavuk Sote,https://www.nefisyemektarifleri.com/video/patates-puresinde-tavuk-sote/,Tavuk,Tek Öğün,318,25.6,27.3,11,2.7,105.4,280.45,904.2,291.68,392.72,21.92,1.06,77.04,4 adet orta boy patates,1 yemek kaşığı tereyağı,Yarım çay bardağı kaşar peyniri rendesi,1 tatlı kaşığı tuz,Yarım çay kaşığı karabiber,500 gram tavuk göğsü,2 yemek kaşığı sıvı yağ,2 yemek kaşığı bezelye,1 adet yeşil biber,1 adet küçük boy kapya biber,1 adet küçük boy kuru soğan,1 tatlı kaşığı domates salçası,1 tatlı kaşığı tuz,1 tatlı kaşığı kekik,1 çay kaşığı toz kırmızı biber,1 çay kaşığı köri,Yarım çay kaşığı karabiber,Yarım çay bardağı sıcak su (60 m),1 çay bardağı kaşar peyniri rendesi,,,,,,,,,,,
